# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.3200,2.3500,0.9618,0.9618
-3.3700,2.4000,0.9220,0.9220
-3.3700,2.4500,0.9341,0.9341
-3.3700,2.5000,0.9487,0.9487
-3.3700,2.5500,0.9657,0.9657
-3.3700,2.6000,0.9849,0.9849
-3.3700,2.6500,1.0062,1.0062
-3.4200,2.7000,0.9862,0.9862
-3.4200,2.7500,0.9500,0.9500
-3.4700,2.8000,0.9000,0.9000
-3.5200,2.8500,0.8500,0.8500
-3.5700,2.8500,0.8500,0.8500
-3.6200,2.8500,0.8500,0.8500
-3.6700,2.8500,0.8500,0.8500
-3.7200,2.8500,0.8500,0.8500
-3.7700,2.8500,0.8201,0.8201
-3.8200,2.8500,0.7906,0.7906
-3.8700,2.8500,0.7632,0.7632
-3.9200,2.8500,0.7382,0.7382
-3.9700,2.8500,0.7159,0.7159
-4.0200,2.8500,0.6946,0.6946
-4.0700,2.8500,0.6708,0.6708
-4.1200,2.8500,0.6500,0.6500
-4.1700,2.8500,0.6325,0.6325
-4.2200,2.8500,0.6185,0.6185
-4.2700,2.8500,0.6083,0.6083
-4.3200,2.8500,0.6021,0.6021
-4.3700,2.8500,0.6000,0.6000
-4.4200,2.8500,0.6021,0.6021
-4.4700,2.8500,0.6083,0.6083
-4.5200,2.8500,0.6185,0.6185
-4.5700,2.8500,0.6325,0.6325
-4.6200,2.8500,0.6500,0.6500
-4.6700,2.8000,0.6265,0.6265
-4.7200,2.8000,0.6519,0.6519
-4.7700,2.8000,0.6671,0.6671
-4.8200,2.7500,0.6576,0.6576
-4.8700,2.7000,0.6185,0.6185
-4.9200,2.7000,0.6325,0.6325
-4.9700,2.6500,0.6042,0.6042
-5.0200,2.6500,0.6265,0.6265
-5.0700,2.6000,0.6103,0.6103
-5.1200,2.5500,0.6021,0.6021
-5.1700,2.5000,0.5831,0.5831
-5.2200,2.4500,0.5701,0.5701
-5.2700,2.4000,0.5657,0.5657
-5.3200,2.3500,0.5590,0.5590
-5.3700,2.3000,0.5385,0.5385
-5.3700,2.2500,0.5590,0.5590
-5.4200,2.2000,0.5385,0.5385
-5.4200,2.1500,0.5500,0.5500
-5.4700,2.1000,0.5025,0.5025
-5.4700,2.0500,0.5099,0.5099
-5.4700,2.0000,0.5220,0.5220
-5.4700,1.9500,0.5220,0.5220
-5.4700,1.9000,0.5099,0.5099
-5.4700,1.8500,0.5025,0.5025
-5.4700,1.8000,0.5000,0.5000
