# x_m,y_m,w_tr_right_m,w_tr_left_m
9.024521, 3.375981, 1.000000, 1.000000
9.063562, 3.414480, 1.000000, 1.000000
9.104989, 3.453450, 1.000000, 1.000000
9.146440, 3.492329, 1.000000, 1.000000
9.150122, 3.546575, 1.000000, 1.000000
9.183677, 3.589043, 1.000000, 1.000000
9.228341, 3.626142, 1.000000, 1.000000
9.266840, 3.665643, 1.000000, 1.000000
9.305613, 3.705948, 1.000000, 1.000000
9.344960, 3.746309, 1.000000, 1.000000
9.384764, 3.786040, 1.000000, 1.000000
9.424892, 3.824557, 1.000000, 1.000000
9.464939, 3.862698, 1.000000, 1.000000
9.504310, 3.902326, 1.000000, 1.000000
9.542406, 3.945329, 1.000000, 1.000000
9.580762, 3.988229, 1.000000, 1.000000
9.632487, 3.998377, 1.000000, 1.000000
9.676617, 4.026787, 1.000000, 1.000000
9.721513, 4.053593, 1.000000, 1.000000
9.780502, 4.046241, 1.000000, 1.000000
9.824219, 4.075780, 1.000000, 1.000000
9.870031, 4.100280, 1.000000, 1.000000
9.919038, 4.117046, 1.000000, 1.000000
9.960916, 4.151032, 1.000000, 1.000000
10.014162, 4.157571, 1.000000, 1.000000
10.051926, 4.201487, 1.000000, 1.000000
10.091445, 4.241167, 1.000000, 1.000000
10.128676, 4.286369, 1.000000, 1.000000
10.179393, 4.299014, 1.000000, 1.000000
10.224667, 4.324798, 1.000000, 1.000000
10.270041, 4.350342, 1.000000, 1.000000
10.318983, 4.367271, 1.000000, 1.000000
10.361187, 4.400469, 1.000000, 1.000000
10.412959, 4.410567, 1.000000, 1.000000
10.452863, 4.449315, 1.000000, 1.000000
10.506445, 4.455043, 1.000000, 1.000000
10.545378, 4.496137, 1.000000, 1.000000
10.599193, 4.501303, 1.000000, 1.000000
10.638693, 4.541027, 1.000000, 1.000000
10.691067, 4.549671, 1.000000, 1.000000
10.732555, 4.584597, 1.000000, 1.000000
10.782330, 4.599516, 1.000000, 1.000000
10.826827, 4.627176, 1.000000, 1.000000
10.872905, 4.651022, 1.000000, 1.000000
10.923560, 4.663817, 1.000000, 1.000000
10.958787, 4.713857, 1.000000, 1.000000
11.000052, 4.749321, 1.000000, 1.000000
11.054322, 4.753388, 1.000000, 1.000000
11.093089, 4.794876, 1.000000, 1.000000
11.146743, 4.800451, 1.000000, 1.000000
11.186686, 4.839052, 1.000000, 1.000000
11.238151, 4.849954, 1.000000, 1.000000
11.283324, 4.876504, 1.000000, 1.000000
11.318975, 4.922575, 1.000000, 1.000000
11.363006, 4.959047, 1.000000, 1.000000
11.399243, 5.000061, 1.000000, 1.000000
11.403113, 5.054496, 1.000000, 1.000000
11.444393, 5.093326, 1.000000, 1.000000
11.451305, 5.146422, 1.000000, 1.000000
11.448787, 5.203419, 1.000000, 1.000000
11.455106, 5.256756, 1.000000, 1.000000
11.496797, 5.295441, 1.000000, 1.000000
11.499993, 5.350072, 1.000000, 1.000000
11.503261, 5.404673, 1.000000, 1.000000
11.545099, 5.443297, 1.000000, 1.000000
11.550911, 5.496845, 1.000000, 1.000000
11.549598, 5.553342, 1.000000, 1.000000
11.550606, 5.608886, 1.000000, 1.000000
11.547681, 5.666028, 1.000000, 1.000000
11.563216, 5.715629, 1.000000, 1.000000
11.601184, 5.755921, 1.000000, 1.000000
11.600357, 5.811790, 1.000000, 1.000000
11.599078, 5.868635, 1.000000, 1.000000
11.600492, 5.924395, 1.000000, 1.000000
11.600396, 5.979818, 1.000000, 1.000000
11.599036, 6.035641, 1.000000, 1.000000
11.600681, 6.092595, 1.000000, 1.000000
11.599787, 6.147722, 1.000000, 1.000000
11.560251, 6.187416, 1.000000, 1.000000
11.547980, 6.238339, 1.000000, 1.000000
11.550667, 6.295393, 1.000000, 1.000000
11.548627, 6.350505, 1.000000, 1.000000
11.507464, 6.389417, 1.000000, 1.000000
11.500116, 6.442309, 1.000000, 1.000000
11.469825, 6.485700, 1.000000, 1.000000
11.425106, 6.523391, 1.000000, 1.000000
11.386630, 6.562471, 1.000000, 1.000000
11.347611, 6.603721, 1.000000, 1.000000
11.309037, 6.645823, 1.000000, 1.000000
11.254732, 6.649718, 1.000000, 1.000000
11.214199, 6.686960, 1.000000, 1.000000
11.164648, 6.702425, 1.000000, 1.000000
11.107488, 6.699513, 1.000000, 1.000000
